,Date
682,1990:3:9:12
683,1990:3:9:18
684,1990:3:10:0
685,1990:3:10:6
686,1990:3:14:0
687,1990:3:14:12
688,1990:3:14:18
689,1990:3:17:0
690,1990:3:17:6
691,1990:3:17:12
692,1990:10:1:6
693,1990:10:1:12
694,1990:10:1:18
695,1990:10:2:12
696,1990:10:2:18
697,1990:10:3:0
698,1990:10:3:6
699,1990:10:3:12
700,1990:10:3:18
701,1990:10:4:0
702,1990:10:4:6
703,1990:10:9:18
704,1990:10:10:0
705,1990:10:10:6
706,1990:10:12:0
707,1990:10:12:6
708,1990:10:12:12
709,1990:10:13:0
710,1990:10:13:6
711,1990:10:13:12
712,1990:10:13:18
713,1990:10:14:0
714,1990:10:14:6
715,1990:10:14:12
716,1990:10:14:18
717,1990:10:15:0
718,1990:10:16:6
719,1990:10:18:0
720,1990:10:18:6
721,1990:10:18:12
722,1990:10:18:18
723,1990:10:19:0
724,1990:10:21:0
725,1990:10:21:6
726,1990:10:21:12
727,1990:10:21:18
728,1990:10:22:0
729,1990:10:22:6
730,1990:10:24:0
731,1990:10:24:6
732,1990:10:24:12
733,1990:10:24:18
734,1990:10:25:0
735,1990:10:25:6
736,1990:10:25:12
737,1990:10:25:18
738,1990:10:26:0
739,1990:10:26:6
740,1990:10:27:0
741,1990:10:27:6
742,1990:10:27:12
743,1990:10:27:18
744,1990:10:28:0
745,1990:10:28:6
746,1990:10:29:18
747,1990:10:30:0
748,1990:10:30:6
749,1990:10:30:12
750,1990:10:30:18
751,1990:10:31:0
752,1990:10:31:6
753,1990:11:3:0
754,1990:11:3:6
755,1990:11:3:12
756,1990:11:3:18
757,1990:11:4:0
758,1990:11:4:6
759,1990:11:4:12
760,1990:11:4:18
761,1990:11:5:12
762,1990:11:7:0
763,1990:11:7:6
764,1990:11:7:12
765,1990:11:7:18
766,1990:11:8:0
767,1990:11:8:6
768,1990:11:8:12
769,1990:11:8:18
770,1990:11:9:0
771,1990:11:9:6
772,1990:11:9:12
773,1990:11:9:18
774,1990:11:10:18
775,1990:11:11:18
776,1990:11:12:6
777,1990:11:13:6
778,1990:11:16:6
779,1990:11:16:12
780,1990:11:19:18
781,1990:11:20:0
782,1990:11:20:6
783,1990:11:22:0
784,1990:11:22:18
785,1990:11:28:18
786,1990:11:29:0
787,1990:11:29:6
788,1990:11:29:12
789,1990:11:29:18
790,1990:11:30:0
791,1990:12:3:6
792,1990:12:3:12
793,1990:12:3:18
794,1990:12:4:0
795,1990:12:4:6
796,1990:12:4:12
797,1990:12:8:6
798,1990:12:8:12
799,1990:12:10:0
800,1990:12:10:6
801,1990:12:10:12
802,1990:12:16:18
803,1990:12:17:0
804,1990:12:17:12
805,1990:12:17:18
806,1990:12:18:0
807,1990:12:18:6
808,1990:12:24:12
809,1990:12:24:18
810,1990:12:25:0
811,1990:12:25:12
812,1990:12:25:18
813,1990:12:26:0
814,1990:12:27:0
815,1990:12:31:0
816,1990:12:31:6
817,1990:12:31:12
